Frame,WallSeconds,DeltaMs,CpuInputAndUiMs,CpuCelestialTickMs,CpuEditorAndPanelsMs,CpuSimulationAndInterfaceMs,CpuScenePushMs,CpuRecordAndPresentMs,CpuFrameCapWaitMs,GpuValid,GpuCullMs,GpuRasterMs,GpuHiZMs,GpuResolveMs,GpuKernelMs,GpuShadowMs,GpuRestirMs,GpuPostMs,GpuSkyMs,GpuVolumeMs,ClusterTotal,ClustersVisible,TrianglesDrawn,Fps,ResidentMiB
0,275.1831,0.0871,48.2445,0.0231,189.2709,0.2796,0.1369,301.4865,0.0008,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,11481.06,0.0
1,275.7227,100.0000,0.2004,0.0127,4.7806,0.0566,0.0082,316.4447,0.0008,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,19.98,749.0
2,276.0442,100.0000,0.6943,0.0194,6.2918,0.0872,0.0149,82.4606,0.0015,1,0.1882,17.0847,0.5271,2.4701,281.5732,0.0000,281.5732,1.1282,0.0000,0.0000,2046,1992,223832,14.99,749.0
3,276.1338,89.5776,0.3904,0.0186,3.8288,0.0813,0.0138,6.1709,0.0010,1,0.0891,10.1792,0.0553,1.0770,74.1350,0.0000,74.1350,1.0854,0.0000,0.0000,2046,1992,223832,13.81,749.0
4,276.1443,10.5107,0.0532,0.0148,2.2123,0.0564,0.0091,136.9890,0.0014,1,0.0922,8.8245,0.0573,1.2078,70.7677,0.0000,70.7677,0.8698,0.0000,0.0000,2046,1992,223832,16.66,749.0
5,276.2836,100.0000,0.0753,0.0177,2.4453,0.0704,0.0114,5.3232,0.0016,1,0.0815,8.7413,0.0450,1.0960,52.2271,0.0000,52.2271,0.8713,0.0000,0.0000,2046,1992,223832,14.99,749.0
6,276.2916,7.9534,0.0693,0.0200,3.9795,0.0478,0.0077,111.2981,0.0017,1,0.0880,9.2316,0.0456,1.3457,51.0068,0.0000,51.0068,0.8623,0.0000,0.0000,2046,1992,223832,17.15,749.0
7,276.4070,100.0000,0.0667,0.0167,2.6350,0.0803,0.0155,58.9912,0.0012,1,0.0984,8.9573,0.0471,1.1333,47.2421,0.0000,47.2421,0.8567,0.0000,0.0000,2046,1992,223832,15.74,749.0
8,276.4688,61.8148,0.0618,0.0149,1.8259,0.0602,0.0103,2.6194,0.0013,1,0.0955,11.7066,0.0454,1.4346,45.8522,0.0000,45.8522,0.8524,0.0000,0.0000,2046,1992,223832,15.79,749.0
9,276.4734,4.6024,0.0946,0.0313,2.0619,0.0672,0.0126,54.2039,0.0016,1,0.0847,10.4221,0.0463,1.1281,43.4358,0.0000,43.4358,0.8527,0.0000,0.0000,2046,1992,223832,17.41,749.0
10,276.5299,56.4820,0.0560,0.0161,1.7757,0.0785,0.0103,54.1107,0.0009,1,0.0954,9.5487,0.0454,1.2252,44.6229,0.0000,44.6229,0.8571,0.0000,0.0000,2046,1992,223832,17.43,755.8
11,276.5859,56.0560,0.0585,0.0168,1.7780,0.0604,0.0114,54.8712,0.0012,1,0.0884,9.0938,0.0452,1.5278,43.4230,0.0000,43.4230,0.8526,0.0000,0.0000,2046,1992,223832,17.47,755.8
12,276.6427,56.8052,0.1828,0.0172,2.9952,0.0598,0.0112,48.9627,0.0011,1,0.0924,10.1156,0.0451,1.0400,41.2205,0.0000,41.2205,0.8493,0.0000,0.0000,2046,1992,223832,17.48,755.8
13,276.6950,52.2378,0.0611,0.0150,2.3902,0.0684,0.0124,51.0990,0.0015,1,0.0907,9.8083,0.0453,1.3599,41.0269,0.0000,41.0269,0.8439,0.0000,0.0000,2046,1992,223832,17.59,755.8
14,276.7486,53.6555,0.0784,0.0177,3.2785,0.0863,0.0164,49.7340,0.0013,1,0.0889,9.8125,0.0450,1.2502,40.4096,0.0000,40.4096,0.8428,0.0000,0.0000,2046,1992,223832,17.65,755.8
15,276.8018,53.2201,0.0632,0.0171,3.3549,0.0576,0.0103,99.3441,0.0014,1,0.0961,9.2840,0.0451,1.0217,38.7496,0.0000,38.7496,0.8441,0.0000,0.0000,2046,1992,223832,17.72,755.8
16,276.9047,100.0000,0.1828,0.0164,1.8944,0.0719,0.0122,7.0767,0.0013,1,0.0880,9.2960,0.0453,1.4492,40.0991,0.0000,40.0991,0.8432,0.0000,0.0000,2046,1992,223832,16.95,755.8
17,276.9140,9.2641,0.7217,0.0136,6.0457,0.0473,0.0085,45.4447,0.0012,1,0.0997,10.0260,0.0475,2.2718,39.5328,0.0000,39.5328,0.8464,0.0000,0.0000,2046,1992,223832,17.78,755.8
18,276.9663,52.2920,0.0582,0.0210,2.8027,0.0766,0.0142,45.3745,0.0014,1,0.0981,10.4534,0.0468,1.2718,38.2193,0.0000,38.2193,0.8483,0.0000,0.0000,2046,1992,223832,17.85,755.8
19,277.0146,48.3567,0.0506,0.0126,1.9627,0.0651,0.0118,48.1720,0.0028,1,0.0950,10.5401,0.0456,1.1350,37.9112,0.0000,37.9112,0.9815,0.0000,0.0000,2046,1992,223832,17.97,755.8
20,277.0649,50.2857,0.0881,0.0208,2.4782,0.0853,0.0157,46.8807,0.0015,1,0.0897,9.8144,0.0451,1.0892,37.5425,0.0000,37.5425,0.8350,0.0000,0.0000,2046,1992,223832,18.05,787.5
